date	shift	material_type	number	weight_kg	original_date
6/29/2025	day	solid	85	1030	29/6/2025
6/29/2025	day	solid	86	1060	29/6/2025
6/29/2025	night	solid	87	990	29/6/2025
6/29/2025	night	solid	88	930	29/6/2025
6/29/2025	night	solid	89	990	29/6/2025
6/30/2025	day	solid	90	1050	30/6/2025
6/30/2025	day	solid	91	1060	30/6/2025
6/30/2025	day	solid	92	1060	30/6/2025
6/30/2025	night	solid	93	1080	30/6/2025
6/30/2025	night	solid	94	1040	30/6/2025
6/30/2025	night	solid	95	990	30/6/2025
7/1/2025	day	solid	96	1030	1/7/2025
7/1/2025	day	solid	97	1010	1/7/2025
7/3/2025	day	solid	98	1110	3/7/2025
7/3/2025	night	solid	99	940	3/7/2025
7/10/2025	day	solid	100	1090	10/7/2025
7/15/2025	day	solid	101	1140	15/7/2025
7/16/2025	day	solid	102	1030	16/7/2025
7/16/2025	day	solid	103	990	16/7/2025
7/16/2025	day	solid	104	1140	16/7/2025
7/16/2025	night	solid	105	990	16/7/2025
7/16/2025	night	solid	106	1010	16/7/2025
7/17/2025	day	solid	107	1060	17/7/2025
7/17/2025	night	solid	108	970	17/7/2025
7/18/2025	day	solid	109	1100	18/7/2025
7/18/2025	day	solid	110	1050	18/7/2025
7/18/2025	night	solid	111	1010	18/7/2025
7/19/2025	day	solid	112	1160	19/7/2025
7/19/2025	night	solid	113	1020	19/7/2025
7/19/2025	night	solid	114	990	19/7/2025
7/20/2025	day	solid	115	1100	20/7/2025
7/20/2025	night	solid	116	1070	20/7/2025
7/21/2025	day	solid	117	1080	21/7/2025
7/21/2025	day	solid	118	1140	21/7/2025
7/21/2025	night	solid	119	1010	21/7/2025
7/22/2025	day	solid	120	1040	22/7/2025
7/22/2025	day	solid	121	1140	22/7/2025
7/22/2025	day	solid	122	1120	22/7/2025
7/22/2025	night	solid	123	1090	22/7/2025
7/22/2025	night	solid	124	1010	22/7/2025
7/23/2025	day	solid	125	1070	23/7/2025
7/23/2025	day	solid	126	1110	23/7/2025
7/23/2025	night	solid	127	1020	23/7/2025
7/23/2025	night	solid	128	1050	23/7/2025
7/23/2025	night	solid	129	1000	23/7/2025
7/24/2025	day	solid	130	1070	24/7/2025
7/24/2025	day	solid	131	1080	24/7/2025
7/24/2025	night	solid	132	1020	24/7/2025
7/24/2025	night	solid	133	1010	24/7/2025
7/25/2025	day	solid	134	1140	25/7/2025
7/25/2025	day	solid	135	1040	25/7/2025
7/25/2025	night	solid	136	990	25/7/2025
7/26/2025	day	solid	137	1090	26/7/2025
7/26/2025	day	solid	138	1120	26/7/2025
7/26/2025	night	solid	139	940	26/7/2025
7/26/2025	night	solid	140	1050	26/7/2025
7/27/2025	day	solid	141	1080	27/7/2025
7/27/2025	day	solid	142	1070	27/7/2025
7/27/2025	night	solid	143	970	27/7/2025
7/27/2025	night	solid	144	1040	27/7/2025
7/27/2025	night	solid	145	910	27/7/2025
7/28/2025	day	solid	146	1060	28/7/2025
7/28/2025	day	solid	147	1010	28/7/2025
7/28/2025	day	solid	148	1010	28/7/2025
7/28/2025	night	solid	149	940	28/7/2025
7/28/2025	night	solid	150	960	28/7/2025
7/29/2025	day	solid	151	1040	29/7/2025
7/29/2025	day	solid	152	1070	29/7/2025
7/29/2025	night	solid	153	1020	29/7/2025
7/29/2025	night	solid	154	1060	29/7/2025
7/29/2025	night	solid	155	950	29/7/2025
7/30/2025	day	solid	156	1120	30/7/2025
7/30/2025	day	solid	157	1040	30/7/2025
7/30/2025	night	solid	158	970	30/7/2025
7/30/2025	night	solid	159	1010	30/7/2025
7/30/2025	night	solid	160	990	30/7/2025
7/31/2025	day	solid	161	1090	31/7/2025
7/31/2025	day	solid	162	1070	31/7/2025
7/31/2025	night	solid	163	1080	31/7/2025
7/31/2025	night	solid	164	1030	31/7/2025
8/1/2025	day	solid	165	1090	1/8/2025
8/1/2025	day	solid	166	1060	1/8/2025
8/1/2025	night	solid	167	1020	1/8/2025
8/1/2025	night	solid	168	1050	1/8/2025
8/1/2025	night	solid	169	970	1/8/2025
8/2/2025	day	solid	170	1040	2/8/2025
8/2/2025	day	solid	171	1060	2/8/2025
8/2/2025	night	solid	172	990	2/8/2025
8/2/2025	night	solid	173	990	2/8/2025
8/3/2025	day	solid	174	1070	3/8/2025
8/3/2025	day	solid	175	1060	3/8/2025
8/3/2025	night	solid	176	1010	3/8/2025
8/3/2025	night	solid	177	1010	3/8/2025
8/3/2025	night	solid	178	1040	3/8/2025
8/4/2025	day	solid	179	1060	4/8/2025
8/4/2025	day	solid	180	1060	4/8/2025
8/4/2025	night	solid	181	960	4/8/2025
8/4/2025	night	solid	182	990	4/8/2025
8/5/2025	day	solid	183	1040	5/8/2025
8/5/2025	night	solid	184	1010	5/8/2025
8/6/2025	day	solid	185	1010	6/8/2025
8/6/2025	night	solid	186	1120	6/8/2025
8/6/2025	night	solid	187	1120	6/8/2025
8/7/2025	day	solid	188	1120	7/8/2025
8/7/2025	day	solid	189	1050	7/8/2025
8/7/2025	night	solid	190	1050	7/8/2025
8/8/2025	day	solid	191	1120	8/8/2025
8/8/2025	day	solid	192	1060	8/8/2025
8/8/2025	night	solid	193	1070	8/8/2025
8/8/2025	night	solid	194	990	8/8/2025
8/9/2025	day	solid	195	1070	9/8/2025
8/9/2025	day	solid	196	1000	9/8/2025
8/9/2025	night	solid	197	1060	9/8/2025
8/9/2025	night	solid	198	990	9/8/2025
8/10/2025	day	solid	199	1050	10/8/2025
8/10/2025	day	solid	200	1020	10/8/2025
8/10/2025	night	solid	201	1040	10/8/2025
8/10/2025	night	solid	202	970	10/8/2025
8/11/2025	day	solid	203	1020	11/8/2025
8/11/2025	day	solid	204	990	11/8/2025
8/11/2025	night	solid	205	950	11/8/2025
8/11/2025	night	solid	206	1140	11/8/2025
8/12/2025	day	solid	207	1080	12/8/2025
8/12/2025	day	solid	208	1010	12/8/2025
8/12/2025	day	solid	209	1040	12/8/2025
8/12/2025	night	solid	210	1040	12/8/2025
8/12/2025	night	solid	211	990	12/8/2025
8/12/2025	night	solid	212	1020	12/8/2025
6/18/2025	night	liquid	1	940	18/6/2025
6/18/2025	night	liquid	2	1070	18/6/2025
6/19/2025	day	liquid	3	930	19/6/2025
6/19/2025	day	liquid	4	1010	19/6/2025
6/19/2025	night	liquid	5	850	19/6/2025
6/19/2025	night	liquid	6	930	19/6/2025
6/20/2025	day	liquid	7	830	20/6/2025
6/20/2025	day	liquid	8	980	20/6/2025
6/20/2025	night	liquid	9	920	20/6/2025
6/20/2025	night	liquid	10	940	20/6/2025
6/21/2025	day	liquid	11	990	21/6/2025
6/21/2025	day	liquid	12	990	21/6/2025
6/21/2025	night	liquid	13	900	21/6/2025
6/21/2025	night	liquid	14	940	21/6/2025
6/22/2025	day	liquid	15	990	22/6/2025
6/22/2025	day	liquid	16	1010	22/6/2025
6/22/2025	night	liquid	17	940	22/6/2025
6/22/2025	night	liquid	18	880	22/6/2025
6/23/2025	day	liquid	19	960	23/6/2025
6/23/2025	day	liquid	20	990	23/6/2025
6/23/2025	night	liquid	21	910	23/6/2025
6/23/2025	night	liquid	22	990	23/6/2025
6/24/2025	day	liquid	23	990	24/6/2025
6/24/2025	night	liquid	24	900	24/6/2025
6/24/2025	night	liquid	25	990	24/6/2025
6/25/2025	day	liquid	26	1080	25/6/2025
6/25/2025	night	liquid	27	940	25/6/2025
6/26/2025	day	liquid	28	980	26/6/2025
6/26/2025	night	liquid	29	990	26/6/2025
6/26/2025	night	liquid	30	1020	26/6/2025
6/27/2025	day	liquid	31	980	27/6/2025
6/27/2025	night	liquid	32	1010	27/6/2025
6/28/2025	day	liquid	33	980	28/6/2025
6/28/2025	day	liquid	34	990	28/6/2025
6/28/2025	night	liquid	35	990	28/6/2025
6/29/2025	day	liquid	36	1080	29/6/2025
6/29/2025	day	liquid	37	1020	29/6/2025
6/29/2025	night	liquid	38	930	29/6/2025
6/30/2025	day	liquid	39	980	30/6/2025
6/30/2025	day	liquid	40	990	30/6/2025
6/30/2025	night	liquid	41	1020	30/6/2025
7/1/2025	day	liquid	42	990	1/7/2025
7/1/2025	day	liquid	43	860	1/7/2025
7/1/2025	day	liquid	44	1010	1/7/2025
7/2/2025	day	liquid	45	1010	2/7/2025
7/5/2025	day	liquid	46	1010	5/7/2025
7/5/2025	day	liquid	47	1070	5/7/2025
7/5/2025	day	liquid	48	990	5/7/2025
7/5/2025	day	liquid	49	1070	5/7/2025
7/16/2025	day	liquid	50	1010	16/7/2025
7/20/2025	night	liquid	1B	960	20/7/2025
7/21/2025	day	liquid	2B	1040	21/7/2025
7/21/2025	day	liquid	3B	960	21/7/2025
7/21/2025	day	liquid	4B	1010	21/7/2025
7/22/2025	day	liquid	5B	1000	22/7/2025
7/22/2025	day	liquid	6B	950	22/7/2025
7/22/2025	day	liquid	7B	1000	22/7/2025
7/22/2025	night	liquid	8B	1000	22/7/2025
7/22/2025	night	liquid	9B	980	22/7/2025
7/23/2025	day	liquid	10B	1010	23/7/2025
7/23/2025	day	liquid	11B	1040	23/7/2025
7/23/2025	night	liquid	12B	1020	23/7/2025
7/23/2025	night	liquid	13B	940	23/7/2025
7/24/2025	day	liquid	14B	990	24/7/2025
7/24/2025	day	liquid	15B	980	24/7/2025
7/24/2025	night	liquid	16B	960	24/7/2025
7/24/2025	night	liquid	17B	990	24/7/2025
7/25/2025	day	liquid	18B	970	25/7/2025
7/25/2025	night	liquid	19B	1010	25/7/2025
7/25/2025	night	liquid	20B	780	25/7/2025
7/26/2025	day	liquid	21B	960	26/7/2025
7/26/2025	day	liquid	22B	1000	26/7/2025
7/26/2025	night	liquid	23B	890	26/7/2025
7/27/2025	day	liquid	24B	960	27/7/2025
7/27/2025	night	liquid	25B	940	27/7/2025
7/28/2025	day	liquid	26B	940	28/7/2025
7/28/2025	day	liquid	27B	960	28/7/2025
7/28/2025	day	liquid	28B	910	28/7/2025
7/28/2025	night	liquid	29B	880	28/7/2025
7/29/2025	day	liquid	30B	990	29/7/2025
7/29/2025	night	liquid	31B	990	29/7/2025
7/29/2025	night	liquid	32B	980	29/7/2025
7/30/2025	day	liquid	33B	1010	30/7/2025
7/30/2025	day	liquid	34B	1010	30/7/2025
7/30/2025	night	liquid	35B	920	30/7/2025
7/31/2025	day	liquid	36B	860	31/7/2025
7/31/2025	day	liquid	37B	1040	31/7/2025
7/31/2025	day	liquid	38B	970	31/7/2025
7/31/2025	night	liquid	39B	940	31/7/2025
8/1/2025	day	liquid	40B	1000	1/8/2025
8/1/2025	day	liquid	41B	1030	1/8/2025
8/1/2025	night	liquid	42B	960	1/8/2025
8/1/2025	night	liquid	43B	930	1/8/2025
8/2/2025	day	liquid	44B	1000	2/8/2025
8/2/2025	day	liquid	45B	1040	2/8/2025
8/2/2025	night	liquid	46B	940	2/8/2025
8/3/2025	day	liquid	47B	1030	3/8/2025
8/3/2025	day	liquid	48B	1040	3/8/2025
8/3/2025	night	liquid	49B	1020	3/8/2025
8/3/2025	night	liquid	50B	960	3/8/2025
8/4/2025	day	liquid	51B	1060	4/8/2025
8/4/2025	day	liquid	52B	1010	4/8/2025
8/4/2025	night	liquid	53B	910	4/8/2025
8/5/2025	night	liquid	54B	910	5/8/2025
8/5/2025	night	liquid	55B	970	5/8/2025
8/6/2025	day	liquid	56B	1060	6/8/2025
8/6/2025	day	liquid	57B	1060	6/8/2025
8/6/2025	day	liquid	58B	1050	6/8/2025
8/6/2025	night	liquid	59B	1010	6/8/2025
8/7/2025	day	liquid	60B	1010	7/8/2025
8/7/2025	day	liquid	61B	1090	7/8/2025
8/7/2025	day	liquid	62B	1040	7/8/2025
8/7/2025	night	liquid	63B	860	7/8/2025
8/7/2025	night	liquid	64B	1010	7/8/2025
8/8/2025	day	liquid	65B	1060	8/8/2025
8/8/2025	day	liquid	66B	1090	8/8/2025
8/8/2025	day	liquid	67B	1070	8/8/2025
8/8/2025	night	liquid	68B	990	8/8/2025
8/8/2025	night	liquid	69B	860	8/8/2025
8/9/2025	day	liquid	70B	1010	9/8/2025
8/9/2025	day	liquid	71B	1050	9/8/2025
8/9/2025	day	liquid	72B	1060	9/8/2025
8/9/2025	night	liquid	73B	910	9/8/2025
8/9/2025	night	liquid	74B	990	9/8/2025
8/10/2025	day	liquid	75B	1090	10/8/2025
8/10/2025	day	liquid	76B	980	10/8/2025
8/10/2025	day	liquid	77B	1040	10/8/2025
8/10/2025	night	liquid	78B	960	10/8/2025
8/11/2025	day	liquid	79B	950	11/8/2025
8/11/2025	day	liquid	80B	990	11/8/2025
8/11/2025	day	liquid	81B	990	11/8/2025
8/11/2025	night	liquid	82B	990	11/8/2025
8/11/2025	night	liquid	83B	1050	11/8/2025
8/12/2025	day	liquid	84B	1020	12/8/2025
8/12/2025	day	liquid	85B	1040	12/8/2025
7/16/2025	day	liquid-ctu	51-ctu	1060	16/7/2025
7/16/2025	day	liquid-ctu	52-ctu	1060	16/7/2025
7/16/2025	night	liquid-ctu	53-ctu	1090	16/7/2025
7/17/2025	day	liquid-ctu	54-ctu	1090	17/7/2025
7/17/2025	day	liquid-ctu	55-ctu	1060	17/7/2025
7/17/2025	day	liquid-ctu	56-ctu	1060	17/7/2025
7/17/2025	day	liquid-ctu	57-ctu	1050	17/7/2025
7/17/2025	day	liquid-ctu	58-ctu	1060	17/7/2025
7/17/2025	day	liquid-ctu	59-ctu	1050	17/7/2025
7/17/2025	day	liquid-ctu	60-ctu	1070	17/7/2025
7/17/2025	night	liquid-ctu	61-ctu	970	17/7/2025
7/17/2025	night	liquid-ctu	62-ctu	980	17/7/2025
7/17/2025	night	liquid-ctu	63-ctu	970	17/7/2025
7/17/2025	night	liquid-ctu	64-ctu	890	17/7/2025
7/17/2025	night	liquid-ctu	65-ctu	1000	17/7/2025
7/17/2025	night	liquid-ctu	66-ctu	1020	17/7/2025
7/17/2025	night	liquid-ctu	67-ctu	1000	17/7/2025
7/17/2025	night	liquid-ctu	68-ctu	1010	17/7/2025
7/17/2025	night	liquid-ctu	69-ctu	960	17/7/2025
7/18/2025	day	liquid-ctu	70-ctu	1030	18/7/2025
7/18/2025	day	liquid-ctu	71-ctu	1080	18/7/2025
7/18/2025	day	liquid-ctu	72-ctu	1050	18/7/2025
7/18/2025	day	liquid-ctu	73-ctu	1030	18/7/2025
7/18/2025	day	liquid-ctu	74-ctu	1050	18/7/2025
7/18/2025	day	liquid-ctu	75-ctu	1080	18/7/2025
7/18/2025	day	liquid-ctu	76-ctu	1030	18/7/2025
7/18/2025	day	liquid-ctu	77-ctu	1100	18/7/2025
7/18/2025	night	liquid-ctu	78-ctu	1050	18/7/2025
7/18/2025	night	liquid-ctu	79-ctu	1010	18/7/2025
7/18/2025	night	liquid-ctu	80-ctu	1030	18/7/2025
7/18/2025	night	liquid-ctu	81-ctu	1010	18/7/2025
7/18/2025	night	liquid-ctu	82-ctu	1060	18/7/2025
7/18/2025	night	liquid-ctu	83-ctu	1080	18/7/2025
7/18/2025	night	liquid-ctu	84-ctu	1010	18/7/2025
7/18/2025	night	liquid-ctu	85-ctu	1030	18/7/2025
7/18/2025	night	liquid-ctu	86-ctu	910	18/7/2025
7/19/2025	day	liquid-ctu	87-ctu	1050	19/7/2025
7/19/2025	day	liquid-ctu	88-ctu	1050	19/7/2025
7/19/2025	day	liquid-ctu	89-ctu	1050	19/7/2025
7/19/2025	day	liquid-ctu	90-ctu	1030	19/7/2025
7/19/2025	day	liquid-ctu	91-ctu	1030	19/7/2025
7/19/2025	day	liquid-ctu	92-ctu	1050	19/7/2025
7/19/2025	day	liquid-ctu	93-ctu	1040	19/7/2025
7/19/2025	day	liquid-ctu	94-ctu	1040	19/7/2025
7/19/2025	night	liquid-ctu	95-ctu	1040	19/7/2025
7/19/2025	night	liquid-ctu	96-ctu	1030	19/7/2025
7/19/2025	night	liquid-ctu	97-ctu	1050	19/7/2025
7/19/2025	night	liquid-ctu	98-ctu	1060	19/7/2025
7/19/2025	night	liquid-ctu	99-ctu	1070	19/7/2025
7/19/2025	night	liquid-ctu	100-ctu	1140	19/7/2025
7/19/2025	night	liquid-ctu	101-ctu	1030	19/7/2025
7/19/2025	night	liquid-ctu	102-ctu	1140	19/7/2025
7/19/2025	night	liquid-ctu	103-ctu	1080	19/7/2025
7/19/2025	night	liquid-ctu	104-ctu	960	19/7/2025
7/20/2025	day	liquid-ctu	105-ctu	990	20/7/2025
7/20/2025	day	liquid-ctu	106-ctu	1050	20/7/2025
7/20/2025	day	liquid-ctu	107-ctu	1060	20/7/2025
7/20/2025	day	liquid-ctu	108-ctu	1050	20/7/2025
7/20/2025	day	liquid-ctu	109-ctu	1050	20/7/2025
7/20/2025	night	liquid-ctu	110-ctu	1030	20/7/2025
7/20/2025	night	liquid-ctu	111-ctu	1030	20/7/2025
7/20/2025	night	liquid-ctu	112-ctu	1020	20/7/2025
7/20/2025	night	liquid-ctu	113-ctu	1010	20/7/2025
7/20/2025	night	liquid-ctu	114-ctu	1030	20/7/2025
7/20/2025	night	liquid-ctu	115-ctu	1020	20/7/2025
7/20/2025	night	liquid-ctu	116-ctu	1060	20/7/2025
7/20/2025	night	liquid-ctu	117-ctu	1010	20/7/2025
7/21/2025	day	liquid-ctu	118-ctu	1040	21/7/2025
7/21/2025	day	liquid-ctu	119-ctu	1030	21/7/2025
7/21/2025	day	liquid-ctu	120-ctu	1120	21/7/2025
7/21/2025	day	liquid-ctu	121-ctu	1060	21/7/2025
7/21/2025	day	liquid-ctu	122-ctu	1050	21/7/2025
7/21/2025	day	liquid-ctu	123-ctu	1060	21/7/2025
7/21/2025	day	liquid-ctu	124-ctu	990	21/7/2025
7/21/2025	day	liquid-ctu	125-ctu	1000	21/7/2025
7/21/2025	night	liquid-ctu	126-ctu	1060	21/7/2025
7/21/2025	night	liquid-ctu	127-ctu	1070	21/7/2025
7/21/2025	night	liquid-ctu	128-ctu	1040	21/7/2025
7/21/2025	night	liquid-ctu	129-ctu	1080	21/7/2025
7/21/2025	night	liquid-ctu	130-ctu	1050	21/7/2025
7/21/2025	night	liquid-ctu	131-ctu	1070	21/7/2025
7/21/2025	night	liquid-ctu	132-ctu	1060	21/7/2025
7/21/2025	night	liquid-ctu	133-ctu	1090	21/7/2025
7/22/2025	day	liquid-ctu	134-ctu	1050	22/7/2025
7/22/2025	day	liquid-ctu	135-ctu	1020	22/7/2025
7/22/2025	day	liquid-ctu	136-ctu	1050	22/7/2025
7/22/2025	day	liquid-ctu	137-ctu	1020	22/7/2025
7/22/2025	day	liquid-ctu	138-ctu	1020	22/7/2025
7/22/2025	day	liquid-ctu	139-ctu	1040	22/7/2025
7/22/2025	day	liquid-ctu	140-ctu	1070	22/7/2025
7/22/2025	day	liquid-ctu	141-ctu	1050	22/7/2025
7/22/2025	day	liquid-ctu	142-ctu	1060	22/7/2025
7/22/2025	day	liquid-ctu	143-ctu	1060	22/7/2025
7/22/2025	night	liquid-ctu	144-ctu	1050	22/7/2025
7/22/2025	night	liquid-ctu	145-ctu	1070	22/7/2025
7/22/2025	night	liquid-ctu	146-ctu	1060	22/7/2025
7/22/2025	night	liquid-ctu	147-ctu	1050	22/7/2025
7/22/2025	night	liquid-ctu	148-ctu	1020	22/7/2025
7/22/2025	night	liquid-ctu	149-ctu	1020	22/7/2025
7/23/2025	day	liquid-ctu	150-ctu	1120	23/7/2025
7/23/2025	day	liquid-ctu	151-ctu	1040	23/7/2025
7/23/2025	day	liquid-ctu	152-ctu	1010	23/7/2025
7/23/2025	day	liquid-ctu	153-ctu	1030	23/7/2025
7/23/2025	day	liquid-ctu	154-ctu	1050	23/7/2025
7/23/2025	day	liquid-ctu	155-ctu	1070	23/7/2025
7/23/2025	day	liquid-ctu	156-ctu	1080	23/7/2025
7/23/2025	day	liquid-ctu	157-ctu	1050	23/7/2025
7/23/2025	day	liquid-ctu	158-ctu	1060	23/7/2025
7/23/2025	night	liquid-ctu	159-ctu	1060	23/7/2025
7/23/2025	night	liquid-ctu	160-ctu	1010	23/7/2025
7/23/2025	night	liquid-ctu	161-ctu	1060	23/7/2025
7/23/2025	night	liquid-ctu	162-ctu	1010	23/7/2025
7/23/2025	night	liquid-ctu	163-ctu	1070	23/7/2025
7/23/2025	night	liquid-ctu	164-ctu	1020	23/7/2025
7/23/2025	night	liquid-ctu	165-ctu	1070	23/7/2025
7/23/2025	night	liquid-ctu	166-ctu	1000	23/7/2025
7/24/2025	day	liquid-ctu	167-ctu	1000	24/7/2025
7/24/2025	day	liquid-ctu	168-ctu	1070	24/7/2025
7/24/2025	day	liquid-ctu	169-ctu	1050	24/7/2025
7/24/2025	day	liquid-ctu	170-ctu	1060	24/7/2025
7/24/2025	day	liquid-ctu	171-ctu	1050	24/7/2025
7/24/2025	day	liquid-ctu	172-ctu	1090	24/7/2025
7/24/2025	day	liquid-ctu	173-ctu	1060	24/7/2025
7/24/2025	day	liquid-ctu	174-ctu	1060	24/7/2025
7/24/2025	day	liquid-ctu	175-ctu	1040	24/7/2025
7/24/2025	night	liquid-ctu	176-ctu	1060	24/7/2025
7/24/2025	night	liquid-ctu	177-ctu	1040	24/7/2025
7/24/2025	night	liquid-ctu	178-ctu	1040	24/7/2025
7/24/2025	night	liquid-ctu	179-ctu	1020	24/7/2025
7/24/2025	night	liquid-ctu	180-ctu	1060	24/7/2025
7/24/2025	night	liquid-ctu	181-ctu	1040	24/7/2025
7/24/2025	night	liquid-ctu	182-ctu	1020	24/7/2025
7/24/2025	night	liquid-ctu	183-ctu	1010	24/7/2025
7/24/2025	night	liquid-ctu	184-ctu	1030	24/7/2025
7/25/2025	day	liquid-ctu	185-ctu	1060	25/7/2025
7/25/2025	day	liquid-ctu	186-ctu	1060	25/7/2025
7/25/2025	day	liquid-ctu	187-ctu	1080	25/7/2025
7/25/2025	day	liquid-ctu	188-ctu	1040	25/7/2025
7/25/2025	day	liquid-ctu	189-ctu	1040	25/7/2025
7/25/2025	day	liquid-ctu	190-ctu	1020	25/7/2025
7/25/2025	day	liquid-ctu	191-ctu	1040	25/7/2025
7/25/2025	day	liquid-ctu	192-ctu	1080	25/7/2025
7/25/2025	night	liquid-ctu	193-ctu	1010	25/7/2025
7/25/2025	night	liquid-ctu	194-ctu	990	25/7/2025
7/25/2025	night	liquid-ctu	195-ctu	1000	25/7/2025
7/25/2025	night	liquid-ctu	196-ctu	990	25/7/2025
7/25/2025	night	liquid-ctu	197-ctu	990	25/7/2025
7/25/2025	night	liquid-ctu	198-ctu	1010	25/7/2025
7/25/2025	night	liquid-ctu	199-ctu	1060	25/7/2025
7/25/2025	night	liquid-ctu	200-ctu	980	25/7/2025
7/25/2025	night	liquid-ctu	201-ctu	1050	25/7/2025
7/26/2025	day	liquid-ctu	202-ctu	1060	26/7/2025
7/26/2025	day	liquid-ctu	203-ctu	1060	26/7/2025
7/26/2025	day	liquid-ctu	204-ctu	1060	26/7/2025
7/26/2025	day	liquid-ctu	205-ctu	1040	26/7/2025
7/26/2025	day	liquid-ctu	206-ctu	1050	26/7/2025
7/26/2025	day	liquid-ctu	207-ctu	1070	26/7/2025
7/26/2025	day	liquid-ctu	208-ctu	1060	26/7/2025
7/26/2025	day	liquid-ctu	209-ctu	1090	26/7/2025
7/26/2025	night	liquid-ctu	210-ctu	1100	26/7/2025
7/26/2025	night	liquid-ctu	211-ctu	1100	26/7/2025
7/26/2025	night	liquid-ctu	212-ctu	1040	26/7/2025
7/26/2025	night	liquid-ctu	213-ctu	1020	26/7/2025
7/26/2025	night	liquid-ctu	214-ctu	1000	26/7/2025
7/26/2025	night	liquid-ctu	215-ctu	1040	26/7/2025
7/26/2025	night	liquid-ctu	216-ctu	990	26/7/2025
7/26/2025	night	liquid-ctu	217-ctu	980	26/7/2025
7/27/2025	night	liquid-ctu	218-ctu	1020	27/7/2025
7/27/2025	day	liquid-ctu	219-ctu	1060	27/7/2025
